GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,0,123,0,16,0,36,0,12,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,0,98,0,6,0,30,0,7,0,4
